710013166	20171125	201711	2017	2017.8904	BHR	MANAMA	BHR								GOV	MINIST						GOV			0	042	042	04	1	1.9	50	1	50	4.12065905874339	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171126081500	http://www.newsofbahrain.com/viewNews.php?ppId=39850&TYPE=Posts&pid=21&MNU=18&SUB=50
710013167	20171125	201711	2017	2017.8904	BRB	BARBADOS	BRB								BRBJUD	BARBADOS	BRB					JUD			1	040	040	04	1	1.0	2	1	2	2.02205882352941	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20171126081500	https://www.barbadosadvocate.com/news/battle-west-competition-go-national
710013168	20171125	201711	2017	2017.8904	BRBJUD	BARBADOS	BRB					JUD													1	040	040	04	1	1.0	8	1	8	2.02205882352941	1	Barbados	BB	BB		13.166667	-59.533333	BB	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	20171126081500	https://www.barbadosadvocate.com/news/battle-west-competition-go-national
710013169	20171125	201711	2017	2017.8904	BRBJUD	BARBADOS	BRB					JUD			BRB	BARBADOS	BRB								1	040	040	04	1	1.0	2	1	2	2.02205882352941	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20171126081500	https://www.barbadosadvocate.com/news/battle-west-competition-go-national
710013170	20171125	201711	2017	2017.8904	BUS	COMPANY						BUS			MIL	CARRIER						MIL			1	051	051	05	1	3.4	5	1	5	3.7593984962406	0								0								0								20171126081500	https://www.cio-today.com/article/index.php?story_id=12200BZZRUAS
710013171	20171125	201711	2017	2017.8904	CRMJUD	CRIMINAL						CRM	JUD		GBR	UNITED KINGDOM	GBR								1	112	112	11	3	-2.0	2	1	2	-6.69371196754569	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171126081500	http://www.dailyrecord.co.uk/news/scottish-news/scottish-justice-secretary-michael-matheson-11588097
710013172	20171125	201711	2017	2017.8904	GOV	AUTHORITIES						GOV													1	100	100	10	3	-5.0	5	1	5	-2.84900284900285	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	0								5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	20171126081500	http://www.business-standard.com/article/pti-stories/i-feel-ashamed-i-fought-s-durga-director-sanal-117112600211_1.html
710013173	20171125	201711	2017	2017.8904	GOV	MINIST						GOV			BHR	MANAMA	BHR								0	043	043	04	1	2.8	50	1	50	4.12065905874339	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171126081500	http://www.newsofbahrain.com/viewNews.php?ppId=39850&TYPE=Posts&pid=21&MNU=18&SUB=50
710013174	20171125	201711	2017	2017.8904	HLH	NURSE						HLH													1	042	042	04	1	1.9	5	1	5	-1.30548302872063	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	0								2	Puerto Rico, United States	US	USPR		18.2766	-66.335	PR	20171126081500	http://www.bostonherald.com/news/local_coverage/2017/11/mass_general_sends_26_medical_pros_to_help_puerto_rico_hurricane_victims
710013175	20171125	201711	2017	2017.8904	HLH	NURSE						HLH													1	060	060	06	2	6.0	5	1	5	-1.30548302872063	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	0								2	Puerto Rico, United States	US	USPR		18.2766	-66.335	PR	20171126081500	http://www.bostonherald.com/news/local_coverage/2017/11/mass_general_sends_26_medical_pros_to_help_puerto_rico_hurricane_victims
710013176	20171125	201711	2017	2017.8904	MNCUSA	MICROSOFT	USA					MNC													1	084	084	08	2	7.0	30	2	30	-0.863819166957627	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171126081500	https://www.cio-today.com/article/index.php?story_id=12200AVN2ARO
710013177	20171125	201711	2017	2017.8904	MNCUSA	MICROSOFT	USA					MNC			MED	BLOG						MED			1	010	010	01	1	0.0	15	2	15	-0.863819166957628	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171126081500	https://www.cio-today.com/article/index.php?story_id=12200AVN2ARO
710013178	20171125	201711	2017	2017.8904	MNCUSAMED	QUALCOMM	USA					MNC	MED		MIL	CARRIER						MIL			1	051	051	05	1	3.4	5	1	5	3.7593984962406	0								0								0								20171126081500	https://www.cio-today.com/article/index.php?story_id=12200BZZRUAS
710013179	20171125	201711	2017	2017.8904	USA	UNITED STATES	USA																		1	110	110	11	3	-2.0	3	1	3	-3.30827067669173	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20171126081500	http://www.bostonherald.com/news/local_coverage/2017/11/cocoanut_grove_fire_still_vivid_75_years_on
710013180	20171126	201711	2017	2017.8932											AFGUAF	AFGHANISTAN	AFG					UAF			1	195	195	19	4	-10.0	16	3	16	-9.34679735114862	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	4	Gagari, Afghanistan (general), Afghanistan	AF	AF00	99928	34.5208	70.4003	10905769	20171126081500	https://www.aninews.in/news/us-airstrike-kills-13-is-militants-in-afghanistan201711261249510001/
710013181	20171126	201711	2017	2017.8932											AFGUAF	AFGHANISTAN	AFG					UAF			1	195	195	19	4	-10.0	24	3	24	-9.34679735114862	0								4	Gagari, Afghanistan (general), Afghanistan	AF	AF00	99928	34.5208	70.4003	10905769	4	Gagari, Afghanistan (general), Afghanistan	AF	AF00	99928	34.5208	70.4003	10905769	20171126081500	https://www.aninews.in/news/us-airstrike-kills-13-is-militants-in-afghanistan201711261249510001/
710013182	20171126	201711	2017	2017.8932											AFR	AFRICA	AFR								1	120	120	12	3	-4.0	4	1	4	-5.88235294117647	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171126081500	http://rinf.com/alt-news/newswire/eu-parliament-votes-against-debating-murder-of-white-farmers-in-south-africa-as-a-human-rights-violation/
710013183	20171126	201711	2017	2017.8932											AUS	AUSTRALIA	AUS								1	190	190	19	4	-10.0	2	1	2	-2.41379310344828	0								4	Chirnside, Queensland, Australia	AS	AS04	154673	-23.15	148.05	-1565516	4	Chirnside, Queensland, Australia	AS	AS04	154673	-23.15	148.05	-1565516	20171126081500	http://www.heraldsun.com.au/news/victoria/family-of-chirnside-park-lightning-victim-lauren-brownlee-mourn/news-story/f5ddbbaa50613d3433a2f8cec4f9f67a?nk=eebf9278c5d984595f506c9c025b3b2c-1511683411
710013184	20171126	201711	2017	2017.8932											AUS	AUSTRALIA	AUS								1	190	190	19	4	-10.0	2	1	2	-2.41379310344828	0								4	Tumut, New South Wales, Australia	AS	AS02	154639	-35.3002	148.225	-1605905	4	Tumut, New South Wales, Australia	AS	AS02	154639	-35.3002	148.225	-1605905	20171126081500	http://www.heraldsun.com.au/news/victoria/family-of-chirnside-park-lightning-victim-lauren-brownlee-mourn/news-story/f5ddbbaa50613d3433a2f8cec4f9f67a?nk=eebf9278c5d984595f506c9c025b3b2c-1511683411
710013185	20171126	201711	2017	2017.8932											AUT	AUSTRIA	AUT								0	042	042	04	1	1.9	2	1	2	2.81995661605206	0								4	Alpe, Nordrhein-Westfalen, Germany	GM	GM07	16552	50.9833	7.6	-1738359	4	Alpe, Nordrhein-Westfalen, Germany	GM	GM07	16552	50.9833	7.6	-1738359	20171126081500	http://www.timescolonist.com/life/travel/rick-steves-austria-meets-italy-in-bicultural-bolzano-1.23104930
710013186	20171126	201711	2017	2017.8932											BHR	BAHRAIN	BHR								0	036	036	03	1	4.0	40	1	40	3.98594927145791	0								4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171126081500	http://www.newsofbahrain.com/viewNews.php?ppId=39850&TYPE=Posts&pid=21&MNU=18&SUB=50
